timestamp,location,vehicle_count,average_speed_kmph,traffic_condition,weather
2026-01-01 00:04:00,Dindigul Bus Stand,99,65.19,Heavy,Clear
2026-01-01 00:26:00,RM Colony,55,23.68,Heavy,Clear
2026-01-01 00:27:00,RM Colony,20,41.81,Jam,Rainy
2026-01-01 00:39:00,RM Colony,180,21.09,Jam,Clear
2026-01-01 00:43:00,Nagalk Nagar,130,35.45,Moderate,Cloudy
2026-01-01 01:00:00,Dindigul Bus Stand,126,28.52,Moderate,Cloudy
2026-01-01 01:00:00,Trichy Road,180,17.87,Moderate,Cloudy
2026-01-01 01:05:00,Nagalk Nagar,66,22.53,Moderate,Rainy
2026-01-01 01:06:00,Begampur,137,27.38,Moderate,Rainy
2026-01-01 01:07:00,Trichy Road,36,20.41,Free Flow,Rainy
2026-01-01 01:10:00,Nagalk Nagar,181,27.29,Heavy,Clear
2026-01-01 01:22:00,Natham Road,139,37.2,Moderate,Rainy
2026-01-01 01:36:00,Palani Road,84,58.05,Moderate,Cloudy
2026-01-01 01:46:00,SPM Nagar,108,42.18,Jam,Rainy
2026-01-01 02:03:00,Begampur,35,52.64,Jam,Cloudy
2026-01-01 02:12:00,Begampur,191,65.44,Free Flow,Clear
2026-01-01 02:23:00,Dindigul Bus Stand,61,24.42,Jam,Clear
2026-01-01 02:29:00,Oddanchatram Road,47,58.4,Moderate,Clear
2026-01-01 02:33:00,Batlagundu Road,155,53.87,Moderate,Cloudy
2026-01-01 02:56:00,Dindigul Bus Stand,35,60.69,Heavy,Cloudy
2026-01-01 03:02:00,RM Colony,119,69.48,Jam,Clear
2026-01-01 03:05:00,Oddanchatram Road,62,63.47,Heavy,Rainy
2026-01-01 03:12:00,Oddanchatram Road,36,23.62,Heavy,Clear
2026-01-01 03:31:00,Dindigul Bus Stand,198,67.28,Moderate,Rainy
2026-01-01 03:34:00,Trichy Road,99,49.74,Free Flow,Clear
2026-01-01 03:36:00,Dindigul Bus Stand,31,46.56,Free Flow,Clear
2026-01-01 03:47:00,Batlagundu Road,24,35.47,Free Flow,Rainy
